"name","price","review_count","purchase_price","profitable"
"The World Ends With You","$17.99","10,000+","$179,900.00","Y"
"Theatre of the Absurd CE(Full)","$2.99","10,000+","$29,900.00","Y"
"Threema","$2.99","1,000,000+","$29,900.00","Y"
"Tiny Scanner Pro: PDF Doc Scan","$4.99","100,000+","$49,900.00","Y"
"Toca Builders","$3.99","100,000+","$39,900.00","Y"
"Toca Life: City","$3.99","500,000+","$39,900.00","Y"
"Toca Life: Hospital","$3.99","100,000+","$39,900.00","Y"
"Tools & Mi Band","$3.49","100,000+","$34,900.00","Y"
"Train Sim Pro","$1.49","10,000+","$14,900.00","Y"
"Trazado de tuberia El Tubero","$1.97","10,000+","$19,700.00","Y"
"Trine 2: Complete Story","$16.99","10,000+","$169,900.00","Y"
"True Skate","$1.99","1,000,000+","$19,900.00","Y"
"Tsuro - The Game of the Path","$2.99","10,000+","$29,900.00","Y"
"tTorrent - ad free","$1.99","10,000+","$19,900.00","Y"
"TurboScan: scan documents and receipts in PDF","$4.99","100,000+","$49,900.00","Y"
"Ultimate Watch 2 watch face","$0.99","10,000+","$9,900.00","Y"
"Ulysse Speedometer Pro","$1.99","50,000+","$19,900.00","Y"
"Volume Slider Like Android P Volume Control","$0.99","10,000+","$9,900.00","Y"
"Vpn Hosts (ad blocker & no root & support ipv6 )","$2.99","10,000+","$29,900.00","Y"
"Weather & Radar Pro - Ad-Free","$2.99","100,000+","$29,900.00","Y"
"Weather Forecast Pro","$3.99","100,000+","$39,900.00","Y"
"weather HD","$1.99","10,000+","$19,900.00","Y"
"Weather Live","$5.99","500,000+","$59,900.00","Y"
"Weather Live Pro","$4.49","100,000+","$44,900.00","Y"
"Where's My Water?","$1.99","1,000,000+","$19,900.00","Y"
"WiFi Tether Router","$2.90","100,000+","$29,000.00","Y"
"X Back - Icon Pack","$0.99","10,000+","$9,900.00","Y"
"X Construction","$1.49","100,000+","$14,900.00","Y"
"X Home Bar - Home Bar Gesture Pro","$1.99","10,000+","$19,900.00","Y"
"X Launcher Pro - IOS Style Theme & Control Center","$1.99","10,000+","$19,900.00","Y"
"XCOM®: Enemy Within","$9.99","100,000+","$99,900.00","Y"
"XE Currency Pro","$1.99","10,000+","$19,900.00","Y"
"Z Origins - (Z The Game)","$2.99","50,000+","$29,900.00","Y"
"ZArchiver Donate","$2.50","10,000+","$25,000.00","Y"
"Zombie Avengers:(Dreamsky)Stickman War Z","$0.99","1,000,000+","$9,900.00","Y"
"ZOOKEEPER DX TouchEdition","$0.99","100,000+","$9,900.00","Y"
"💎 I'm rich","$399.99","10,000+","$3,999,900.00","Y"
